Interatomic distances:
13-28-16-26 -28.0168
13-32-16-2 17.4726
13-32-16-3 3.0743
13-32-16-7 0.5035
13-32-16-14 56.9502
13-32-16-18 -53.4137
13-32-16-20 56.5214
13-32-16-22 -53.1613
13-32-16-26 -46.4372
13-32-16-28 43.3798
13-38-16-2 -0.6130
13-38-16-3 49.5088
13-38-16-7 0.5171
13-38-16-14 53.9465
13-38-16-18 -55.2278
13-38-16-20 45.7921
13-38-16-22 -43.2209
13-38-16-26 -54.6882
13-38-16-28 53.0081
13-38-16-32 1.1396
13-72-16-2 43.5889
13-72-16-3 45.5352
13-72-16-7 -0.1978
13-72-16-14 88.1640
13-72-16-18 -83.7453
13-72-16-20 46.4364
13-72-16-22 -56.1270
13-72-16-26 -59.1693
13-72-16-28 42.1963
13-72-16-32 -44.7233
13-72-16-38 -45.1947
13-74-16-2 -44.6136
13-74-16-3 -42.2799
13-74-16-7 1.0500
13-74-16-14 83.8081
13-74-16-18 -87.6806
13-74-16-20 61.1882
13-74-16-22 -41.4556
13-74-16-26 -46.3011
13-74-16-28 56.0695
13-74-16-32 46.5733
13-74-16-38 45.1469
13-74-16-72 89.5545
13-11-26-2 -46.4142
13-16-26-2 46.3979
13-16-26-11 46.6823
13-18-26-2 -0.4969
13-18-26-11 54.7635
13-18-26-16 -55.4333
13-22-26-2 30.2153
13-22-26-11 54.6217
13-22-26-16 0.8425
13-22-26-18 54.4996
13-36-26-2 -29.5452
13-36-26-11 3.1031
13-36-26-16 -54.5985
13-36-26-18 -53.8844
13-36-26-22 -44.7188
13-38-26-2 32.2406
13-38-26-11 2.0395
13-38-26-16 56.0245
13-38-26-18 56.4711
13-38-26-22 43.0220
13-38-26-36 58.4410
13-46-26-2 -30.3495
13-46-26-11 -45.6520
13-46-26-16 -10.0857
13-46-26-18 -44.1378
13-46-26-22 -30.7848
13-46-26-36 -31.6613
13-46-26-38 29.5120
13-62-26-2 -45.1063
13-62-26-11 -53.9818
13-62-26-16 -30.5189
13-62-26-18 -85.5913
13-62-26-22 -22.5135
13-62-26-36 -55.7324
13-62-26-38 54.7703
13-62-26-46 1.1639
13-64-26-2 -7.3217
13-64-26-11 -42.8561
13-64-26-16 31.1394
13-64-26-18 -19.3911
13-64-26-22 56.1077
13-64-26-36 -53.7025
13-64-26-38 53.1152
13-64-26-46 -45.3938
13-64-26-62 -51.7745
13-74-26-2 46.4313
13-74-26-11 1.2210
13-74-26-16 47.2842
13-74-26-18 55.8465
13-74-26-22 55.1035
13-74-26-36 3.1901
13-74-26-38 2.0563
13-74-26-46 -45.6401
13-74-26-62 -55.0451
13-74-26-64 -43.3951
13-76-26-2 1.5199
13-76-26-11 1.6017
13-76-26-16 0.2134
13-76-26-18 1.5510
13-76-26-22 0.1910
13-76-26-36 1.6241
13-76-26-38 -1.5426
13-76-26-46 0.2679
13-76-26-62 0.2959
13-76-26-64 -1.3489
13-76-26-74 -1.6009
13-4-28-2 45.8642
13-14-28-2 1.7927
13-14-28-4 -53.3222
13-16-28-2 -45.8338
13-16-28-4 -46.0966
13-16-28-14 -56.4258
13-20-28-2 -29.2613
13-20-28-4 -53.3762
13-20-28-14 -53.4259
13-20-28-16 -0.8687
13-29-28-2 31.5639
13-29-28-4 0.1829
13-29-28-14 55.8708
13-29-28-16 56.1250
13-29-28-20 43.9416
13-38-28-2 -33.4801
13-38-28-4 -3.6650
13-38-28-14 -58.1396
13-38-28-16 -57.3729
13-38-28-20 -43.0447
13-38-28-29 -56.6826
13-66-28-2 6.6088
13-66-28-4 44.0193
13-66-28-14 21.5100
13-66-28-16 -34.0277
13-66-28-20 -57.6415
13-66-28-29 56.3300
13-66-28-38 -56.3006
13-67-28-2 43.8966
13-67-28-4 54.2746
13-67-28-14 87.1799
13-67-28-16 29.8569
13-67-28-20 28.3581
13-67-28-29 52.6720
13-67-28-38 -52.0738
13-67-28-66 -59.3041
13-70-28-2 -0.1001
13-70-28-4 0.6148
13-70-28-14 -0.0740
13-70-28-16 -0.6921
13-70-28-20 -0.6935
13-70-28-29 0.6103
13-70-28-38 -0.6449
13-70-28-66 0.2343
13-70-28-67 0.7857
13-72-28-2 -45.7314
13-72-28-4 -58.3589
13-72-28-14 -54.9901
13-72-28-16 -45.0914
13-72-28-20 -54.1898
13-72-28-29 -2.9273
13-72-28-38 -0.5249
13-72-28-66 45.6200
13-72-28-67 53.5058
13-72-28-70 0.6460
13-20-38-16 47.6549
13-26-38-16 -57.2871
13-26-38-20 -60.8292
13-28-38-16 55.4422
13-28-38-20 41.8713
13-28-38-26 29.7836
13-32-38-16 1.1750
13-32-38-20 -43.1260
13-32-38-26 43.4041
13-32-38-28 -42.5191
13-64-38-16 -31.1645
13-64-38-20 -4.5768
13-64-38-26 -54.2454
13-64-38-28 24.7534
13-64-38-32 -55.4632
13-66-38-16 31.5697
13-66-38-20 59.3389
13-66-38-26 -24.4493
13-66-38-28 54.4435
13-66-38-32 55.7261
13-66-38-64 -51.8919
13-72-38-16 47.0178
13-72-38-20 46.4209
13-72-38-26 58.5127
13-72-38-28 0.5133
13-72-38-32 51.7999
13-72-38-64 -57.4491
13-72-38-66 -43.1073
13-74-38-16 -46.9668
13-74-38-20 -57.4566
13-74-38-26 -2.0863
13-74-38-28 -58.1746
13-74-38-32 -51.9250
13-74-38-64 43.0638
13-74-38-66 58.6468
13-74-38-72 -27.1026
13-11-46-0 55.5575
13-26-46-0 32.0983
13-26-46-11 47.4641
13-43-46-0 33.6476
13-43-46-11 -39.4036
13-43-46-26 -46.6902
13-47-46-0 -52.4771
13-47-46-11 -30.6308
13-47-46-26 6.4809
13-47-46-43 -54.7399
13-62-46-0 55.8911
13-62-46-11 55.1517
13-62-46-26 -1.1993
13-62-46-43 76.2644
13-62-46-47 -13.4436
13-64-46-0 -0.1332
13-64-46-11 44.6798
13-64-46-26 47.1891
13-64-46-43 51.0602
13-64-46-47 -40.1828
13-64-46-62 53.7588
13-4-47-0 -55.3065
13-39-47-0 -37.7223
13-39-47-4 35.1654
13-46-47-0 54.0454
13-46-47-4 30.1570
13-46-47-39 56.6614
13-66-47-0 -0.4503
13-66-47-4 -44.6785
13-66-47-39 -54.3127
13-66-47-46 40.9408
13-67-47-0 -55.8611
13-67-47-4 -54.7528
13-67-47-39 -75.1942
13-67-47-46 16.0444
13-67-47-66 53.6939
13-38-64-26 57.9861
13-46-64-26 -49.0029
13-46-64-38 -4.7696
13-62-64-26 -56.3874
13-62-64-38 -59.2358
13-62-64-46 56.0760
13-66-64-26 33.0010
13-66-64-38 55.2989
13-66-64-46 -41.3194
13-66-64-62 -11.2853
13-74-64-26 46.7456
13-74-64-38 -45.5149
13-74-64-46 51.0053
13-74-64-62 87.5191
13-74-64-66 -57.7981
13-38-66-28 -55.6637
13-47-66-28 42.7009
13-47-66-38 -1.9213
13-64-66-28 -29.8419
13-64-66-38 -53.0010
13-64-66-47 40.1437
13-67-66-28 58.5901
13-67-66-38 51.6530
13-67-66-47 -52.1026
13-67-66-64 -20.9356
13-72-66-28 -45.1840
13-72-66-38 43.9167
13-72-66-47 -40.2528
13-72-66-64 55.2287
13-72-66-67 -85.0913
13-28-67-4 -35.5648
13-29-67-4 -37.7041
13-29-67-28 34.7290
13-47-67-4 35.2571
13-47-67-28 -2.3599
13-47-67-29 32.5408
13-49-67-4 6.7974
13-49-67-28 45.6468
13-49-67-29 75.1996
13-49-67-47 -43.4169
13-66-67-4 -3.2903
13-66-67-28 -38.0289
13-66-67-29 -40.8037
13-66-67-47 34.7230
13-66-67-49 2.4871
14-3-2-0 21.7175
14-4-2-0 1.9702
14-4-2-3 -2.2567
14-6-2-0 55.5200
14-6-2-3 -56.1980
14-6-2-4 54.1998
14-8-2-0 28.7803
14-8-2-3 -28.7873
14-8-2-4 26.0242
14-8-2-6 13.0733
14-11-2-0 -31.2912
14-11-2-3 31.3433
14-11-2-4 -28.8808
14-11-2-6 -23.5465
14-11-2-8 -6.6424
14-13-2-0 -53.1593
14-13-2-3 53.6411
14-13-2-4 -56.5647
14-13-2-6 -85.3299
14-13-2-8 -22.6108
14-13-2-11 15.2459
14-15-2-0 54.7981
14-15-2-3 -55.1588
14-15-2-4 47.1250
14-15-2-6 53.9221
14-15-2-8 12.9470
14-15-2-11 -8.1383
14-15-2-13 28.5136
14-16-2-0 -54.8915
14-16-2-3 55.1588
14-16-2-4 -45.4791
14-16-2-6 -26.5614
14-16-2-8 7.6500
14-16-2-11 -14.3704
14-16-2-13 -56.6150
14-16-2-15 32.5286
14-17-2-0 29.2980
14-17-2-3 -29.3984
14-17-2-4 61.7150
14-17-2-6 68.7273
14-17-2-8 28.7354
14-17-2-11 -20.7718
14-17-2-13 -41.3640
14-17-2-15 34.3481
14-17-2-16 -58.1763
14-18-2-0 -28.8569
14-18-2-3 29.3984
14-18-2-4 -60.9594
14-18-2-6 42.0896
14-18-2-8 19.5374
14-18-2-11 -31.5041
14-18-2-13 -69.0939
14-18-2-15 58.0557
14-18-2-16 -34.6717
14-18-2-17 66.0605
14-21-2-0 54.6678
14-21-2-3 -55.0467
14-21-2-4 60.2433
14-21-2-6 71.4632
14-21-2-8 12.5242
14-21-2-11 1.5536
14-21-2-13 58.8891
14-21-2-15 -13.7933
14-21-2-16 -55.4079
14-21-2-17 -69.1652
14-21-2-18 -59.3049
14-26-2-0 -54.7912
14-26-2-3 55.3075
14-26-2-4 -60.7805
14-26-2-6 -52.4370
14-26-2-8 -1.3618
14-26-2-11 -14.1852
14-26-2-13 -69.6048
14-26-2-15 54.8145
14-26-2-16 14.7004
14-26-2-17 58.9214
14-26-2-18 69.1607
14-26-2-21 28.2386
14-28-2-0 -29.7623
14-28-2-3 29.8221
14-28-2-4 -45.7475
14-28-2-6 -44.7763
14-28-2-8 -28.5996
14-28-2-11 9.1728
14-28-2-13 -1.7865
14-28-2-15 -9.9140
14-28-2-16 45.7392
14-28-2-17 30.3579
14-28-2-18 44.4645
14-28-2-21 -31.7941
14-28-2-26 30.4743
14-2-3-1 21.7175
14-5-3-1 1.9700
14-5-3-2 -2.2565
14-7-3-1 55.5200
14-7-3-2 -56.1980
14-7-3-5 54.1998
14-9-3-1 28.7803
14-9-3-2 -28.7873
14-9-3-5 26.0242
14-9-3-7 13.0733
14-10-3-1 -31.2914
14-10-3-2 31.3435
14-10-3-5 -28.8809
14-10-3-7 -23.5467
14-10-3-9 -6.6424
14-12-3-1 -53.1594
14-12-3-2 53.6411
14-12-3-5 -56.5647
14-12-3-7 -85.3300
14-12-3-9 -22.6107
14-12-3-10 15.2458
14-15-3-1 -54.8915
14-15-3-2 55.1588
14-15-3-5 -45.4793
14-15-3-7 -26.5618
14-15-3-9 7.6498
14-15-3-10 -14.3704
14-15-3-12 -56.6150
14-16-3-1 54.7980
14-16-3-2 -55.1588
14-16-3-5 47.1250
14-16-3-7 53.9220
14-16-3-9 12.9469
14-16-3-10 -8.1382
14-16-3-12 28.5136
14-16-3-15 -32.5285
14-17-3-1 -28.8569
14-17-3-2 29.3984
14-17-3-5 -60.9594
14-17-3-7 42.0896
14-17-3-9 19.5374
14-17-3-10 -31.5043
14-17-3-12 -69.0939
14-17-3-15 -34.6719
14-17-3-16 58.0558
14-18-3-1 29.2980
14-18-3-2 -29.3984
14-18-3-5 61.7149
14-18-3-7 68.7273
14-18-3-9 28.7354
14-18-3-10 -20.7719
14-18-3-12 -41.3643
14-18-3-15 -58.1764
14-18-3-16 34.3482
14-18-3-17 -66.0605
14-22-3-1 54.6678
14-22-3-2 -55.0467
14-22-3-5 60.2432
14-22-3-7 71.4631
14-22-3-9 12.5241
14-22-3-10 1.5537
14-22-3-12 58.8890
14-22-3-15 -55.4079
14-22-3-16 -13.7932
14-22-3-17 -59.3048
14-22-3-18 -69.1652
14-25-3-1 -54.7912
14-25-3-2 55.3075
14-25-3-5 -60.7804
14-25-3-7 -52.4370
14-25-3-9 -1.3618
14-25-3-10 -14.1854
14-25-3-12 -69.6047
14-25-3-15 14.7002
14-25-3-16 54.8145
14-25-3-17 69.1607
14-25-3-18 58.9214
14-25-3-22 28.2384
14-27-3-1 -29.7624
14-27-3-2 29.8222
14-27-3-5 -45.7476
14-27-3-7 -44.7763
14-27-3-9 -28.5996
14-27-3-10 9.1727
14-27-3-12 -1.7865
14-27-3-15 45.7393
14-27-3-16 -9.9140
14-27-3-17 44.4646
14-27-3-18 30.3581
14-27-3-22 -31.7941
14-27-3-25 30.4742
14-2-4-0 -1.8970
14-6-4-0 -54.3332
14-6-4-2 -51.3452
14-13-4-0 52.1431
14-13-4-2 53.4656
14-13-4-6 88.0153
14-19-4-0 -54.7412
14-19-4-2 -43.9972
14-19-4-6 -55.1925
14-19-4-13 -23.5868
14-28-4-0 52.2937
14-28-4-2 43.6029
14-28-4-6 29.4471
14-28-4-13 52.4373
14-28-4-19 -28.7078
14-29-4-0 55.4503
14-29-4-2 1.4546
14-29-4-6 -51.9343
14-29-4-13 52.6412
14-29-4-19 -53.5269
14-29-4-28 52.5431
14-39-4-0 -30.3402
14-39-4-2 -27.2698
14-39-4-6 -14.6300
14-39-4-13 -23.6717
14-39-4-19 13.7108
14-39-4-28 5.5972
14-39-4-29 30.5768
14-47-4-0 35.7027
14-47-4-2 31.7793
14-47-4-6 28.2057
14-47-4-13 16.8854
14-47-4-19 -12.0090
14-47-4-28 -13.7847
14-47-4-29 -35.1170
14-47-4-39 7.2564
14-49-4-0 -29.8607
14-49-4-2 -53.7676
14-49-4-6 -72.8500
14-49-4-13 52.6883
14-49-4-19 -35.9187
14-49-4-28 57.4043
14-49-4-29 32.3563
14-49-4-39 -30.3943
14-49-4-47 24.7796
14-51-4-0 -54.8972
14-51-4-2 -57.1729
14-51-4-6 -71.1626
14-51-4-13 -63.0994
14-51-4-19 16.4194
14-51-4-28 45.4899
14-51-4-29 54.9731
14-51-4-39 -12.2348
14-51-4-47 -2.5784
14-51-4-49 72.4991
14-67-4-0 34.8561
14-67-4-2 55.7490
14-67-4-6 -38.7802
14-67-4-13 71.7852
14-67-4-19 -59.2116
14-67-4-28 33.1260
14-67-4-29 -31.3763
14-67-4-39 -19.2127
14-67-4-47 35.8444
14-67-4-49 -69.0392
14-67-4-51 -59.6774
14-3-5-1 -1.8968
14-7-5-1 -54.3331
14-7-5-3 -51.3453
14-12-5-1 52.1432
14-12-5-3 53.4656
14-12-5-7 88.0154
14-20-5-1 -54.7410
14-20-5-3 -43.9971
14-20-5-7 -55.1923
14-20-5-12 -23.5867
14-27-5-1 52.2938
14-27-5-3 43.6030
14-27-5-7 29.4471
14-27-5-12 52.4374
14-27-5-20 -28.7078
14-30-5-1 55.4505
14-30-5-3 1.4546
14-30-5-7 -51.9343
14-30-5-12 52.6413
14-30-5-20 -53.5268
14-30-5-27 52.5432
14-40-5-1 -30.3402
14-40-5-3 -27.2698
14-40-5-7 -14.6300
14-40-5-12 -23.6716
14-40-5-20 13.7108
14-40-5-27 5.5972
14-40-5-30 30.5768
14-48-5-1 35.7025
14-48-5-3 31.7792
14-48-5-7 28.2055
14-48-5-12 16.8853
14-48-5-20 -12.0089
14-48-5-27 -13.7847
14-48-5-30 -35.1168
14-48-5-40 7.2564
14-50-5-1 -29.8610
14-50-5-3 -53.7680
14-50-5-7 -72.8499
14-50-5-12 52.6874
14-50-5-20 -35.9182
14-50-5-27 57.4044
14-50-5-30 32.3565
14-50-5-40 -30.3943
14-50-5-48 24.7794
14-52-5-1 -54.8972
14-52-5-3 -57.1730
14-52-5-7 -71.1625
14-52-5-12 -63.0992
14-52-5-20 16.4193
14-52-5-27 45.4901
14-52-5-30 54.9732
14-52-5-40 -12.2348
14-52-5-48 -2.5784
14-52-5-50 72.4990
14-68-5-1 34.8558
14-68-5-3 55.7491
14-68-5-7 -38.7804
14-68-5-12 71.7851
14-68-5-20 -59.2114
14-68-5-27 33.1261
14-68-5-30 -31.3761
14-68-5-40 -19.2127
14-68-5-48 35.8443
14-68-5-50 -69.0390
14-68-5-52 -59.6774
14-3-15-2 -54.5873
14-6-15-2 53.3758
14-6-15-3 55.7330
14-12-15-2 -53.0123
14-12-15-3 -56.0119
14-12-15-6 81.0167
14-17-15-2 -34.0748
14-17-15-3 34.3953
14-17-15-6 -71.1573
14-17-15-12 71.1969
14-19-15-2 45.8219
14-19-15-3 -0.6479
14-19-15-6 54.3130
14-19-15-12 -54.8125
14-19-15-17 58.9114
14-21-15-2 13.6950
14-21-15-3 33.7560
14-21-15-6 -15.9082
14-21-15-12 15.1811
14-21-15-17 33.6688
14-21-15-19 -30.4161
14-25-15-2 -34.6077
14-25-15-3 -14.5951
14-25-15-6 -15.4701
14-25-15-12 16.1893
14-25-15-17 -34.6729
14-25-15-19 27.6731
14-25-15-21 -15.6889
14-27-15-2 0.1663
14-27-15-3 -45.3296
14-27-15-6 54.3297
14-27-15-12 -53.8440
14-27-15-17 -57.2107
14-27-15-19 54.3217
14-27-15-21 26.1824
14-27-15-25 -30.3925
14-31-15-2 54.9218
14-31-15-3 -60.0869
14-31-15-6 56.3359
14-31-15-12 -56.5922
14-31-15-17 33.2661
14-31-15-19 0.8203
14-31-15-21 33.6185
14-31-15-25 -15.3449
14-31-15-27 -44.8023
14-37-15-2 41.7926
14-37-15-3 -55.6790
14-37-15-6 55.6195
14-37-15-12 -55.2945
14-37-15-17 -33.6544
14-37-15-19 45.9744
14-37-15-21 14.7565
14-37-15-25 -34.5642
14-37-15-27 -1.5368
14-37-15-31 56.0021
14-71-15-2 46.2547
14-71-15-3 -44.6096
14-71-15-6 87.8827
14-71-15-12 -88.0679
14-71-15-17 4.4482
14-71-15-19 45.3536
14-71-15-21 32.0727
14-71-15-25 -32.6212
14-71-15-27 -46.0024
14-71-15-31 43.4758
14-71-15-37 -46.5946
14-73-15-2 13.1777
14-73-15-3 -15.6228
14-73-15-6 20.0239
14-73-15-12 -19.9861
14-73-15-17 -1.3355
14-73-15-19 11.3703
14-73-15-21 13.3942
14-73-15-25 -15.2418
14-73-15-27 -9.2103
14-73-15-31 15.1792
14-73-15-37 -12.4046
14-73-15-71 2.0240
14-3-16-2 54.5874
14-7-16-2 55.7330
14-7-16-3 53.3758
14-13-16-2 -56.0120
14-13-16-3 -53.0124
14-13-16-7 81.0182
14-18-16-2 34.3951
14-18-16-3 -34.0749
14-18-16-7 -71.1572
14-18-16-13 71.1968
14-20-16-2 -0.6480
14-20-16-3 45.8219
14-20-16-7 54.3128
14-20-16-13 -54.8122
14-20-16-18 58.9112
14-22-16-2 33.7558
14-22-16-3 13.6949
14-22-16-7 -15.9082
14-22-16-13 15.1811
14-22-16-18 33.6686
14-22-16-20 -30.4159
14-26-16-2 -14.5953
14-26-16-3 -34.6080
14-26-16-7 -15.4700
14-26-16-13 16.1892
14-26-16-18 -34.6732
14-26-16-20 27.6737
14-26-16-22 -15.6889
14-28-16-2 -45.3296
14-28-16-3 0.1660
14-28-16-7 54.3296
14-28-16-13 -53.8438
14-28-16-18 -57.2106
14-28-16-20 54.3215
14-28-16-22 26.1821
14-28-16-26 -30.3926
14-32-16-2 -60.0877
14-32-16-3 54.9218
14-32-16-7 56.3359
14-32-16-13 -56.5922
14-32-16-18 33.2655
14-32-16-20 0.8205
14-32-16-22 33.6183
14-32-16-26 -15.3453
14-32-16-28 -44.8021
14-38-16-2 -55.6791
14-38-16-3 41.7855
14-38-16-7 55.6195
14-38-16-13 -55.2945
14-38-16-18 -33.6551
14-38-16-20 45.9746
14-38-16-22 14.7563
14-38-16-26 -34.5646
14-38-16-28 -1.5367
14-38-16-32 56.0021
14-72-16-2 -44.6097
14-72-16-3 46.2547
14-72-16-7 87.8825
14-72-16-13 -88.0676
14-72-16-18 4.4469
14-72-16-20 45.3535
14-72-16-22 32.0725
14-72-16-26 -32.6215
14-72-16-28 -46.0022
14-72-16-32 43.4755
14-72-16-38 -46.5951
14-74-16-2 -15.6231
14-74-16-3 13.1775
14-74-16-7 20.0240
14-74-16-13 -19.9861
14-74-16-18 -1.3359
14-74-16-20 11.3706
14-74-16-22 13.3940
14-74-16-26 -15.2421
14-74-16-28 -9.2101
14-74-16-32 15.1794
14-74-16-38 -12.4044
14-74-16-72 2.0243
14-6-19-4 -56.3987
14-15-19-4 -45.7299
14-15-19-6 -53.0245
14-27-19-4 -0.0798
14-27-19-6 -53.0407
14-27-19-15 -53.0328
14-29-19-4 54.6593
14-29-19-6 53.1917
14-29-19-15 -0.4244
14-29-19-27 -43.7703
14-31-19-4 -57.0115
14-31-19-6 -57.6150
14-31-19-15 -0.8069
14-31-19-27 45.2327
14-31-19-29 16.4954
14-37-19-4 -46.4985
14-37-19-6 -88.2095
14-37-19-15 -45.0103
14-37-19-27 44.6424
14-37-19-29 42.9087
14-37-19-31 -45.8997
14-49-19-4 36.5192
14-49-19-6 71.0999
14-49-19-15 56.0993
14-49-19-27 -56.5091
14-49-19-29 -31.5885
14-49-19-31 32.9212
14-49-19-37 -6.1676
14-51-19-4 -16.6629
14-51-19-6 14.1817
14-51-19-15 30.1813
14-51-19-27 30.5550
14-51-19-29 -35.2975
14-51-19-31 35.4492
14-51-19-37 34.1720
14-51-19-49 -35.6169
14-69-19-4 54.6992
14-69-19-6 -49.6807
14-69-19-15 -52.9333
14-69-19-27 -53.1328
14-69-19-29 54.6295
14-69-19-31 -59.0009
14-69-19-37 -87.1562
14-69-19-49 71.0112
14-69-19-51 13.1094
14-71-19-4 -43.2894
14-71-19-6 -55.6240
14-71-19-15 -44.4099
14-71-19-27 1.4419
14-71-19-29 54.3634
14-71-19-31 -56.5727
14-71-19-37 -43.7738
14-71-19-49 34.3799
14-71-19-51 -17.2263
14-71-19-69 54.0384
14-7-20-5 -56.3987
14-16-20-5 -45.7301
14-16-20-7 -53.0244
14-28-20-5 -0.0797
14-28-20-7 -53.0407
14-28-20-16 -53.0328
14-30-20-5 54.6593
14-30-20-7 53.1918
14-30-20-16 -0.4243
14-30-20-28 -43.7703
14-32-20-5 -57.0115
14-32-20-7 -57.6150
14-32-20-16 -0.8071
14-32-20-28 45.2327
14-32-20-30 16.4961
14-38-20-5 -46.4985
14-38-20-7 -88.2094
14-38-20-16 -45.0106
14-38-20-28 44.6424
14-38-20-30 42.9088
14-38-20-32 -45.8995
14-50-20-5 36.5188
14-50-20-7 71.0996
14-50-20-16 56.0998
14-50-20-28 -56.5091
14-50-20-30 -31.5886
14-50-20-32 32.9213
14-50-20-38 -6.1665
14-52-20-5 -16.6629
14-52-20-7 14.1819
14-52-20-16 30.1814
14-52-20-28 30.5551
14-52-20-30 -35.2975
14-52-20-32 35.4493
14-52-20-38 34.1721
14-52-20-50 -35.6170
14-70-20-5 54.6993
14-70-20-7 -49.6843
14-70-20-16 -52.9334
14-70-20-28 -53.1327
14-70-20-30 54.6296
14-70-20-32 -59.0008
14-70-20-38 -87.1562
14-70-20-50 71.0110
14-70-20-52 13.1095
14-72-20-5 -43.2877
14-72-20-7 -55.6239
14-72-20-16 -44.4099
14-72-20-28 1.4420
14-72-20-30 54.3634
14-72-20-32 -56.5726
14-72-20-38 -43.7735
14-72-20-50 34.3794
14-72-20-52 -17.2263
14-72-20-70 54.0383
14-5-27-3 -45.3825
14-12-27-3 -1.7754
14-12-27-5 54.9001
14-15-27-3 45.3742
14-15-27-5 45.1319
14-15-27-12 53.9043
14-19-27-3 30.4196
14-19-27-5 0.0921
14-19-27-12 54.8964
14-19-27-15 54.3831
14-30-27-3 -29.7796
14-30-27-5 -55.0159
14-30-27-12 -55.1130
14-30-27-15 0.4688
14-30-27-19 44.7198
14-37-27-3 31.7312
14-37-27-5 57.0599
14-37-27-12 59.0839
14-37-27-15 1.5380
14-37-27-19 -45.6389
14-37-27-30 -28.5661
14-65-27-3 -8.3058
14-65-27-5 13.1230
14-65-27-12 -11.8050
14-65-27-15 -26.2046
14-65-27-19 -21.8120
14-65-27-30 29.2134
14-65-27-37 -29.2166
14-68-27-3 -43.9619
14-68-27-5 -34.3355
14-68-27-12 -72.9256
14-68-27-15 -56.4188
14-68-27-19 56.7981
14-68-27-30 34.8543
14-68-27-37 -35.4144
14-68-27-65 -28.6070
14-69-27-3 1.8745
14-69-27-5 -55.2863
14-69-27-12 5.2876
14-69-27-15 54.2871
14-69-27-19 54.4883
14-69-27-30 -54.7858
14-69-27-37 58.7555
14-69-27-65 -11.6835
14-69-27-68 -72.9315
14-71-27-3 45.3313
14-71-27-5 24.8348
14-71-27-12 58.4915
14-71-27-15 46.0480
14-71-27-19 -1.4671
14-71-27-30 -56.5427
14-71-27-37 58.8175
14-71-27-65 14.0799
14-71-27-68 -35.0562
14-71-27-69 -58.8918
14-4-28-2 -45.3825
14-13-28-2 -1.7754
14-13-28-4 54.9003
14-16-28-2 45.3743
14-16-28-4 45.1319
14-16-28-13 53.9043
14-20-28-2 30.4196
14-20-28-4 0.0920
14-20-28-13 54.8963
14-20-28-16 54.3830
14-29-28-2 -29.7797
14-29-28-4 -55.0161
14-29-28-13 -55.1132
14-29-28-16 0.4689
14-29-28-20 44.7198
14-38-28-2 31.7314
14-38-28-4 57.0600
14-38-28-13 59.0840
14-38-28-16 1.5379
14-38-28-20 -45.6389
14-38-28-29 -28.5660
14-66-28-2 -8.3055
14-66-28-4 13.1231
14-66-28-13 -11.8046
14-66-28-16 -26.2043
14-66-28-20 -21.8120
14-66-28-29 29.2131
14-66-28-38 -29.2164
14-67-28-2 -43.9619
14-67-28-4 -34.3355
14-67-28-13 -72.9254
14-67-28-16 -56.4187
14-67-28-20 56.7980
14-67-28-29 34.8542
14-67-28-38 -35.4143
14-67-28-66 -28.6068
14-70-28-2 1.8745
14-70-28-4 -55.2864
14-70-28-13 5.2877
14-70-28-16 54.2871
14-70-28-20 54.4881
14-70-28-29 -54.7859
14-70-28-38 58.7556
14-70-28-66 -11.6831
14-70-28-67 -72.9314
14-72-28-2 45.3314
14-72-28-4 24.8359
14-72-28-13 58.4916
14-72-28-16 46.0479
14-72-28-20 -1.4672
14-72-28-29 -56.5429
14-72-28-38 58.8177
14-72-28-66 14.0800
14-72-28-67 -35.0561
14-72-28-70 -58.8919
14-19-29-4 -56.7326
14-28-29-4 55.6274
14-28-29-19 32.2807
14-30-29-4 -0.9776
14-30-29-19 -45.1412
14-30-29-28 45.1588
14-49-29-4 -33.8119
14-49-29-19 32.4735
14-49-29-28 -58.8250
14-49-29-30 58.8048
14-67-29-4 32.7765
14-67-29-19 58.8108
14-67-29-28 -35.1504
14-67-29-30 -58.1324
14-67-29-49 67.6374
14-69-29-4 -56.7651
14-69-29-19 -56.7005
14-69-29-28 20.5596
14-69-29-30 56.6329
14-69-29-49 -71.1296
14-69-29-67 -52.7720
14-70-29-4 55.8822
14-70-29-19 -19.3282
14-70-29-28 55.3919
14-70-29-30 -56.6330
14-70-29-49 49.4885
14-70-29-67 70.9206
14-70-29-69 -86.7995
14-20-30-5 -56.7325
14-27-30-5 55.6275
14-27-30-20 32.2806
14-29-30-5 -0.9775
14-29-30-20 -45.1411
14-29-30-27 45.1590
14-50-30-5 -33.8121
14-50-30-20 32.4736
14-50-30-27 -58.8252
14-50-30-29 58.8047
14-68-30-5 32.7763
14-68-30-20 58.8106
14-68-30-27 -35.1506
14-68-30-29 -58.1325
14-68-30-50 67.6376
14-69-30-5 55.8822
14-69-30-20 -19.3281
14-69-30-27 55.3920
14-69-30-29 -56.6330
14-69-30-50 49.4889
14-69-30-68 70.9206
14-70-30-5 -56.7649
14-70-30-20 -56.7003
14-70-30-27 20.5598
14-70-30-29 56.6331
14-70-30-50 -71.1299
14-70-30-68 -52.7721
14-70-30-69 86.7995
14-27-69-19 -36.0143
14-29-69-19 36.8201
14-29-69-27 -1.6260
14-30-69-19 2.0593
14-30-69-27 -36.1682
14-30-69-29 36.7869
14-49-69-19 44.0243
14-49-69-27 28.6697
14-49-69-29 -42.7261
