Interatomic distances:
27 3 3.985325
27 4 5.009019
27 5 2.932785
27 6 5.149014
27 7 5.540169
27 8 6.973444
27 9 6.614777
27 10 5.457264
27 11 7.796669
27 12 2.825610
27 13 6.816960
27 14 2.855359
27 15 2.923019
27 16 5.443846
27 17 5.546484
27 18 6.601036
27 19 2.955018
27 20 4.677030
27 21 5.569711
27 22 7.565463
27 23 8.286434
27 24 7.712733
27 25 4.671399
27 26 8.089346
28 0 4.988970
28 1 7.156827
28 2 3.985319
28 3 4.943881
28 4 2.932785
28 5 5.009019
28 6 5.540160
28 7 5.149016
28 8 6.614771
28 9 6.973445
28 10 7.796676
28 11 5.457262
28 12 6.816960
28 13 2.825610
28 14 2.855353
28 15 5.443844
28 16 2.923025
28 17 6.601031
28 18 5.546483
28 19 4.677030
28 20 2.955018
28 21 7.565458
28 22 5.569719
28 23 7.712731
28 24 8.286436
28 25 8.089340
28 26 4.671402
28 27 5.476640
29 0 5.804901
29 1 7.652695
29 2 4.911436
29 3 5.671662
29 4 2.915876
29 5 4.998044
29 6 5.101706
29 7 6.544502
29 8 7.254005
29 9 8.323509
29 10 8.235979
29 11 7.179445
29 12 6.369643
29 13 4.914655
29 14 2.834353
29 15 4.952780
29 16 4.975627
29 17 7.192128
29 18 7.204210
29 19 2.880895
29 20 4.097140
29 21 7.204124
29 22 7.777664
29 23 9.023346
29 24 9.483459
29 25 7.716335
29 26 7.177354
29 27 4.026842
29 28 2.859731
30 0 7.652692
30 1 5.804903
30 2 5.671660
30 3 4.911436
30 4 4.998044
30 5 2.915876
30 6 6.544497
30 7 5.101712
30 8 8.323506
30 9 7.254007
30 10 7.179448
30 11 8.235974
30 12 4.914655
30 13 6.369643
30 14 2.834352
30 15 4.975620
30 16 4.952780
30 17 7.204208
30 18 7.192130
30 19 4.097140
30 20 2.880895
30 21 7.777656
30 22 7.204128
30 23 9.483455
30 24 9.023347
30 25 7.177349
30 26 7.716339
30 27 2.859731
30 28 4.026842
30 29 2.796046
31 0 5.747617
31 1 7.606716
31 2 4.865873
31 3 5.624080
31 4 4.865583
31 5 6.481937
31 6 2.884549
31 7 8.270728
31 8 5.065180
31 9 8.212972
31 10 6.371075
31 11 7.173022
31 12 5.011398
31 13 7.093197
31 14 4.916094
31 15 2.828616
31 16 7.090230
31 17 4.975726
31 18 7.109352
31 19 2.837615
31 20 7.755061
31 21 2.869452
31 22 9.295855
31 23 7.290196
31 24 7.831240
31 25 4.050019
31 26 8.809075
31 27 4.083216
31 28 7.140785
31 29 5.715361
31 30 6.398820
32 0 7.606716
32 1 5.747617
32 2 5.624080
32 3 4.865873
32 4 6.481946
32 5 4.865591
32 6 8.270728
32 7 2.884549
